condition,claim_id,claim_type,claim_summary,dataset_derived_status,external_source_status,supporting_source,source_locator_or_section,source_supports_complete_claim,safety_relevance,limitations,eligible_for_phase7_rule_creation
Acne,KC-ACNE-REF-SAFE-001,referral_consideration,"NHS advises GP assessment for moderate or severe acne, or when nodules or cysts develop.",not_dataset_derived,reference_checked,NHS: Acne | https://www.nhs.uk/conditions/acne/,When to seek medical advice,yes,referral,UK NHS referral wording; local pathways may differ.,yes
Acne,KC-ACNE-REF-SELF-001,general_self_care,Avoid picking or squeezing acne spots because this can worsen them and contribute to scarring.,not_dataset_derived,reference_checked,NHS: Acne | https://www.nhs.uk/conditions/acne/,Things you can try if you have acne,yes,general,General self-care only; it does not replace treatment advice.,yes
Acne,KC-ACNE-REF-SYM-001,symptom,Acne can involve spots and oily skin; affected skin may sometimes feel hot or painful.,not_dataset_derived,reference_checked,NHS: Acne | https://www.nhs.uk/conditions/acne/,Overview and Symptoms of acne,yes,none,General symptom summary; it is not a diagnostic criterion.,no
Acne,KC-DATA-KP_0016-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0016.,dataset_derived,not_externally_checked,,,not_applicable,caution,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Acne,KC-DATA-KP_0016-DOSHA,dataset_dosha_association,Dataset-assigned Dosha tags: Pitta retained from knowledge profile kp_0016.,dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Acne,KC-DATA-KP_0016-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0016.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Acne,KC-DATA-KP_0016-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0016.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Acne,KC-DATA-KP_0016-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0016.,dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Common Cold,KC-COLD-REF-SAFE-001,referral_consideration,"NHS advises GP assessment when cold symptoms worsen, include shortness of breath or chest pain, or have not improved after 10 days.",not_dataset_derived,reference_checked,NHS: Common cold | https://www.nhs.uk/conditions/common-cold/,Non-urgent advice: See a GP if,yes,referral,Selected NHS referral examples; this is not an exhaustive triage protocol.,yes
Common Cold,KC-COLD-REF-SELF-001,general_self_care,Rest and adequate fluids are general self-care measures listed by NHS for a common cold.,not_dataset_derived,reference_checked,NHS: Common cold | https://www.nhs.uk/conditions/common-cold/,How you can treat a cold yourself,yes,general,General self-care only; individual fluid restrictions are not assessed here.,yes
Common Cold,KC-COLD-REF-SYM-001,symptom,"Common cold symptoms commonly include a blocked or runny nose, sneezing, sore throat, hoarse voice, cough, and feeling tired or unwell.",not_dataset_derived,reference_checked,NHS: Common cold | https://www.nhs.uk/conditions/common-cold/,Symptoms of a cold,yes,none,Symptoms overlap with other respiratory infections and are not diagnostic alone.,no
Common Cold,KC-DATA-KP_0006-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0006.,dataset_derived,not_externally_checked,,,not_applicable,caution,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Common Cold,KC-DATA-KP_0006-DOSHA,dataset_dosha_association,"Dataset-assigned Dosha tags: Vata, Kapha retained from knowledge profile kp_0006.",dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
