condition,claim_id,claim_type,claim_summary,evidence_status,phase6_rule_eligible,converted_to_rule,rule_ids,source_profile_id,source_ids,supporting_source_urls,source_locators,complete_claim_supported,safety_relevance,conversion_reason,limitations
Acne,KC-ACNE-REF-SAFE-001,referral_consideration,"NHS advises GP assessment for moderate or severe acne, or when nodules or cysts develop.",reference_checked,yes,yes,R-ACNE-REFERRAL-001,,SRC-NHS-ACNE,https://www.nhs.uk/conditions/acne/,When to seek medical advice,yes,referral,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",UK NHS referral wording; local pathways may differ.
Acne,KC-ACNE-REF-SELF-001,general_self_care,Avoid picking or squeezing acne spots because this can worsen them and contribute to scarring.,reference_checked,yes,yes,R-ACNE-SELFCARE-001,,SRC-NHS-ACNE,https://www.nhs.uk/conditions/acne/,Things you can try if you have acne,yes,general,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",General self-care only; it does not replace treatment advice.
Acne,KC-ACNE-REF-SYM-001,symptom,Acne can involve spots and oily skin; affected skin may sometimes feel hot or painful.,reference_checked,no,no,,,SRC-NHS-ACNE,https://www.nhs.uk/conditions/acne/,Overview and Symptoms of acne,yes,none,Reference-checked descriptive symptom knowledge does not itself contain a complete testable condition-and-action pair.,General symptom summary; it is not a diagnostic criterion.
Acne,KC-DATA-KP_0016-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0016.,dataset_derived,no,no,,kp_0016,,,,,caution,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Acne,KC-DATA-KP_0016-DOSHA,dataset_dosha_association,Dataset-assigned Dosha tags: Pitta retained from knowledge profile kp_0016.,dataset_derived,no,no,,kp_0016,,,,,none,Dataset-assigned Dosha association is medically unverified and is retained for provenance only; Phase 7 does not infer or resolve Dosha.,Dataset-derived and medically unverified; not eligible for a clinical rule.
Acne,KC-DATA-KP_0016-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0016.,dataset_derived,no,no,,kp_0016,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Acne,KC-DATA-KP_0016-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0016.,dataset_derived,no,no,,kp_0016,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Acne,KC-DATA-KP_0016-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0016.,dataset_derived,no,no,,kp_0016,,,,,none,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Common Cold,KC-COLD-REF-SAFE-001,referral_consideration,"NHS advises GP assessment when cold symptoms worsen, include shortness of breath or chest pain, or have not improved after 10 days.",reference_checked,yes,yes,R-COLD-REFERRAL-001,,SRC-NHS-COLD,https://www.nhs.uk/conditions/common-cold/,Non-urgent advice: See a GP if,yes,referral,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",Selected NHS referral examples; this is not an exhaustive triage protocol.
Common Cold,KC-COLD-REF-SELF-001,general_self_care,Rest and adequate fluids are general self-care measures listed by NHS for a common cold.,reference_checked,yes,yes,R-COLD-SELFCARE-001,,SRC-NHS-COLD,https://www.nhs.uk/conditions/common-cold/,How you can treat a cold yourself,yes,general,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",General self-care only; individual fluid restrictions are not assessed here.
Common Cold,KC-COLD-REF-SYM-001,symptom,"Common cold symptoms commonly include a blocked or runny nose, sneezing, sore throat, hoarse voice, cough, and feeling tired or unwell.",reference_checked,no,no,,,SRC-NHS-COLD,https://www.nhs.uk/conditions/common-cold/,Symptoms of a cold,yes,none,Reference-checked descriptive symptom knowledge does not itself contain a complete testable condition-and-action pair.,Symptoms overlap with other respiratory infections and are not diagnostic alone.
Common Cold,KC-DATA-KP_0006-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0006.,dataset_derived,no,no,,kp_0006,,,,,caution,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Common Cold,KC-DATA-KP_0006-DOSHA,dataset_dosha_association,"Dataset-assigned Dosha tags: Vata, Kapha retained from knowledge profile kp_0006.",dataset_derived,no,no,,kp_0006,,,,,none,Dataset-assigned Dosha association is medically unverified and is retained for provenance only; Phase 7 does not infer or resolve Dosha.,Dataset-derived and medically unverified; not eligible for a clinical rule.
Common Cold,KC-DATA-KP_0006-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0006.,dataset_derived,no,no,,kp_0006,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Common Cold,KC-DATA-KP_0006-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0006.,dataset_derived,no,no,,kp_0006,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Common Cold,KC-DATA-KP_0006-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0006.,dataset_derived,no,no,,kp_0006,,,,,none,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0114.,dataset_derived,no,no,,kp_0114,,,,,caution,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-DOSHA,dataset_dosha_association,Dataset-assigned Dosha tags: Pitta retained from knowledge profile kp_0114.,dataset_derived,no,no,,kp_0114,,,,,none,Dataset-assigned Dosha association is medically unverified and is retained for provenance only; Phase 7 does not infer or resolve Dosha.,Dataset-derived and medically unverified; not eligible for a clinical rule.
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0114.,dataset_derived,no,no,,kp_0114,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0114.,dataset_derived,no,no,,kp_0114,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0114.,dataset_derived,no,no,,kp_0114,,,,,none,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Gastroesophageal Reflux Disease,KC-GERD-REF-SAFE-001,referral_consideration,"NHS advises GP assessment when self-care and pharmacy measures do not help, heartburn occurs most days, or swallowing difficulty, frequent vomiting, or unexplained weight loss occurs.",reference_checked,yes,yes,R-GERD-REFERRAL-001,,SRC-NHS-REFLUX,https://www.nhs.uk/conditions/heartburn-and-acid-reflux/,Non-urgent advice: See a GP if,yes,referral,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",UK NHS referral wording; chest symptoms still require separate emergency assessment outside this claim.
Gastroesophageal Reflux Disease,KC-GERD-REF-SELF-001,general_self_care,"NHS lists smaller, more frequent meals and avoiding personally triggering foods or drinks as measures that may reduce heartburn.",reference_checked,yes,yes,R-GERD-SELFCARE-001,,SRC-NHS-REFLUX,https://www.nhs.uk/conditions/heartburn-and-acid-reflux/,How you can ease heartburn and acid reflux yourself,yes,general,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",General measures only; persistent symptoms require assessment.
Gastroesophageal Reflux Disease,KC-GERD-REF-SYM-001,symptom,The main acid-reflux symptoms listed by NHS are heartburn and an unpleasant sour taste in the mouth.,reference_checked,no,no,,,SRC-NHS-REFLUX,https://www.nhs.uk/conditions/heartburn-and-acid-reflux/,Symptoms of acid reflux,yes,none,Reference-checked descriptive symptom knowledge does not itself contain a complete testable condition-and-action pair.,Symptoms are not specific and do not establish a diagnosis.
Insomnia,KC-DATA-KP_0010-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0010.,dataset_derived,no,no,,kp_0010,,,,,caution,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-DATA-KP_0010-DOSHA,dataset_dosha_association,"Dataset-assigned Dosha tags: Vata, Pitta retained from knowledge profile kp_0010.",dataset_derived,no,no,,kp_0010,,,,,none,Dataset-assigned Dosha association is medically unverified and is retained for provenance only; Phase 7 does not infer or resolve Dosha.,Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-DATA-KP_0010-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0010.,dataset_derived,no,no,,kp_0010,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-DATA-KP_0010-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0010.,dataset_derived,no,no,,kp_0010,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-DATA-KP_0010-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0010.,dataset_derived,no,no,,kp_0010,,,,,none,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-DATA-KP_0150-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0150.,dataset_derived,no,no,,kp_0150,,,,,caution,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-DATA-KP_0150-DOSHA,dataset_dosha_association,Dataset-assigned Dosha tags: Vata retained from knowledge profile kp_0150.,dataset_derived,no,no,,kp_0150,,,,,none,Dataset-assigned Dosha association is medically unverified and is retained for provenance only; Phase 7 does not infer or resolve Dosha.,Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-DATA-KP_0150-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0150.,dataset_derived,no,no,,kp_0150,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-DATA-KP_0150-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0150.,dataset_derived,no,no,,kp_0150,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-DATA-KP_0150-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0150.,dataset_derived,no,no,,kp_0150,,,,,none,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Insomnia,KC-INSOMNIA-REF-SAFE-001,referral_consideration,"NHS advises GP assessment when sleep-habit changes have not helped, sleeping difficulty has lasted for months, or insomnia makes daily life hard to cope with.",reference_checked,yes,yes,R-INSOMNIA-REFERRAL-001,,SRC-NHS-INSOMNIA,https://www.nhs.uk/conditions/insomnia/,Non-urgent advice: See a GP if,yes,referral,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",General UK NHS referral advice; it is not an emergency or mental-health triage rule.
