normalized_condition_name,display_name,profile_count,dosha_combinations_present,relevant_fields_complete,missing_or_placeholder_fields,possible_safety_referral_rule_opportunities,possible_general_lifestyle_rule_opportunities,external_source_availability_status,external_source_title,external_source_url,selection_score,recommendation_status,inclusion_or_exclusion_reason,important_medical_or_data_limitations
acne,Acne,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},"Later source review could define severity, scarring, infection, and appropriate-care escalation topics; no trigger or rule is defined here.",Dataset skin-care and trigger text can nominate non-dosage lifestyle-rule topics for later source checking.,verified: authoritative source page available; content not yet converted to rules,NHS: Acne,https://www.nhs.uk/conditions/acne/,0.9958628901848602,recommended_for_user_approval,"Manageable scope, clear dataset Dosha tag, distinct skin-care demonstration.",Dataset completeness is not evidence of medical correctness. Only one unsealed dataset profile is available. Only one unsealed profile; dataset claims remain unverified.
common cold,Common Cold,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},"Later source review could define worsening, prolonged, or breathing-related assessment topics; no trigger or rule is defined here.","Dataset rest, hygiene, and general self-care text can nominate non-dosage rule topics for later source checking.",verified: authoritative source page available; content not yet converted to rules,NHS: Common cold,https://www.nhs.uk/conditions/common-cold/,0.9760160862535758,recommended_for_user_approval,Manageable demonstration scope with clear separation between general support and escalation.,Dataset completeness is not evidence of medical correctness. Only one unsealed dataset profile is available. Only one unsealed profile; symptom overlap with other infections is substantial.
gastroesophageal reflux disease gerd,Gastroesophageal Reflux Disease (GERD),1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},"Later source review could define persistent, worsening, or alarm-feature assessment topics; no trigger or rule is defined here.",Dataset meal-pattern and trigger text can nominate general lifestyle-rule topics for later source checking.,verified: authoritative source page available; content not yet converted to rules,NHS: Heartburn and acid reflux,https://www.nhs.uk/conditions/heartburn-and-acid-reflux/,0.9754027113296809,recommended_for_user_approval,Distinct digestive example with clear dataset tag and general lifestyle structure.,Dataset completeness is not evidence of medical correctness. Only one unsealed dataset profile is available. Only one unsealed profile; chest symptoms require careful differential safety design.
osteoarthritis,Osteoarthritis,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},Later source review could define persistent or function-limiting symptom and professional-assessment topics; no trigger or rule is defined here.,Dataset activity and lifestyle text can nominate general movement and daily-living topics for later source checking.,verified: authoritative source page available; content not yet converted to rules,NHS: Osteoarthritis,https://www.nhs.uk/conditions/osteoarthritis/,0.9473626828472596,recommended_for_user_approval,Distinct musculoskeletal example with explainable lifestyle and referral structure.,Dataset completeness is not evidence of medical correctness. Only one unsealed dataset profile is available. Only one unsealed profile; condition severity and affected joint vary.
insomnia,Insomnia,2,"Vata | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},"Later source review could define persistence, daytime impairment, and other-sleep-disorder referral topics; no trigger or rule is defined here.",Dataset sleep-routine text can nominate general sleep-habit rule topics for later source checking.,verified: authoritative source page available; content not yet converted to rules,NHS: Insomnia,https://www.nhs.uk/conditions/insomnia/,0.9070526312814458,recommended_for_user_approval,Distinct sleep-domain demonstration with non-dosage lifestyle-rule potential.,Dataset completeness is not evidence of medical correctness. The normalized disease group contains multiple dataset Dosha combinations. Repeated profiles have low symptom coherence and require data-quality review. Two profiles have different dataset Dosha combinations.
psoriasis,Psoriasis,2,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},Authoritative material supports later review of complications and urgent presentations; no trigger or rule is defined here.,Dataset trigger and skin-care topics could be reviewed later.,verified: authoritative source page available; content not yet converted to rules,NHS: Psoriasis,https://www.nhs.uk/conditions/psoriasis/,0.9093495404465525,not_recommended_in_current_five,"Strong candidate, but excluded provisionally to reduce dermatology redundancy.",Dataset completeness is not evidence of medical correctness. Chronic immune-mediated disease with potentially serious presentations and treatment complexity.
eczema atopic dermatitis,Eczema (Atopic Dermatitis),1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},Authoritative material supports later infection and urgent-assessment topic review; no trigger or rule is defined here.,Dataset irritant and skin-care topics could be reviewed later.,verified: authoritative source page available; content not yet converted to rules,NHS: Atopic eczema,https://www.nhs.uk/conditions/atopic-eczema/,0.9068658789629316,not_recommended_in_current_five,"Useful candidate, but redundant with acne in a five-condition portfolio.",Dataset completeness is not evidence of medical correctness. Only one unsealed dataset profile is available. Only one profile; age-dependent care and infection safety add complexity.
diabetes,Diabetes,2,"Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},"Authoritative material supports later complication and professional-care review, but no trigger or rule is defined here.",Dataset lifestyle topics could be reviewed later without prescribing output.,verified: authoritative source page available; content not yet converted to rules,WHO: Diabetes,https://www.who.int/news-room/fact-sheets/detail/diabetes,0.8588798910112809,not_recommended_in_current_five,"Excluded because monitoring, medication, complications, and disease subtype are high risk.",Dataset completeness is not evidence of medical correctness. Generic disease label may combine contexts; dataset medical content is unverified.
asthma,Asthma,4,"Vata | Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},"Authoritative material clearly supports later emergency-escalation review, but no trigger or rule is defined here.",Dataset trigger-avoidance topics could be reviewed later.,verified: authoritative source page available; content not yet converted to rules,NHS: Asthma,https://www.nhs.uk/conditions/asthma/,0.8277532126804411,not_recommended_in_current_five,Excluded because emergency breathing assessment and medication context are high risk.,Dataset completeness is not evidence of medical correctness. The normalized disease group contains multiple dataset Dosha combinations. Repeated profiles have low symptom coherence and require data-quality review. Conflicting dataset Dosha combinations and an apparent unrelated fracture-like profile indicate serious data-quality concerns.
hypertension,Hypertension,3,"Pitta | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},"Authoritative material supports later urgent-care and monitoring review, but no trigger or rule is defined here.",Dataset lifestyle topics could be reviewed later with clinical safeguards.,verified: authoritative source page available; content not yet converted to rules,WHO: Hypertension,https://www.who.int/news-room/fact-sheets/detail/hypertension,0.8053189982396922,not_recommended_in_current_five,"Excluded because diagnosis, monitoring, treatment, and escalation are high stakes.",Dataset completeness is not evidence of medical correctness. The normalized disease group contains multiple dataset Dosha combinations. Conflicting dataset Dosha combinations; symptoms alone cannot establish hypertension.
