knowledge_profile_id,raw_disease,disease,raw_hindi_name,hindi_name,raw_marathi_name,marathi_name,raw_symptoms,symptoms,raw_diagnosis_and_tests,diagnosis_and_tests,raw_symptom_severity,symptom_severity,raw_duration_of_treatment,duration_of_treatment,raw_medical_history,medical_history,raw_current_medications,current_medications,raw_risk_factors,risk_factors,raw_environmental_factors,environmental_factors,raw_sleep_patterns,sleep_patterns,raw_stress_levels,stress_levels,raw_physical_activity_levels,physical_activity_levels,raw_family_history,family_history,raw_dietary_habits,dietary_habits,raw_allergies_food_env,allergies_food_env,raw_seasonal_variation,seasonal_variation,raw_age_group,age_group,raw_gender,gender,raw_occupation_and_lifestyle,occupation_and_lifestyle,raw_cultural_preferences,cultural_preferences,raw_herbal_alternative_remedies,herbal_alternative_remedies,raw_ayurvedic_herbs,ayurvedic_herbs,raw_formulation,formulation,raw_doshas,doshas,raw_constitution_prakriti,constitution_prakriti,raw_diet_and_lifestyle_recommendations,diet_and_lifestyle_recommendations,raw_yoga_and_physical_therapy,yoga_and_physical_therapy,raw_medical_intervention,medical_intervention,raw_prevention,prevention,raw_prognosis,prognosis,raw_complications,complications,raw_patient_recommendations,patient_recommendations,normalized_disease,symptom_tokens,symptom_token_count,dosha_vata,dosha_pitta,dosha_kapha,placeholder_missing_columns
kp_0001,Cough,Cough,खांसी,खांसी,खोकला,खोकला,"Sore throat, chest congestion","Sore throat, chest congestion","Chest X-ray, Blood tests, Sputum analysis","Chest X-ray, Blood tests, Sputum analysis",Mild to Moderate,mild to moderate,1-2 weeks,1-2 weeks,"Asthma, Respiratory Issues","Asthma, Respiratory Issues","Cough syrup, Inhalers","Cough syrup, Inhalers","Viral infections, Smoking","Viral infections, Smoking","Dry, Cold Air, Dusty Air","Dry, Cold Air, Dusty Air",Irregular Sleep,irregular sleep,High Stress,high stress,Low,low,"Asthma, Respiratory issues","Asthma, Respiratory issues","Spicy, Oily Foods","Spicy, Oily Foods","Dust, Pollen","Dust, Pollen","Winter, Rainy","winter, rainy",All ages,all ages,All genders,all genders,"Desk Job, Low physical activity","Desk Job, Low physical activity",Varies by region,Varies by region,"Ginger, Honey","Ginger, Honey","Tulsi, Ashwagandha","Tulsi, Ashwagandha","Ginger (2g), Honey (1 tsp)","Ginger (2g), Honey (1 tsp)","Vata, Kapha","Vata, Kapha",Vata-Kapha,Vata-Kapha,Avoid cold foods; stay hydrated; consume warm liquids.,Avoid cold foods; stay hydrated; consume warm liquids.,"Anulom Vilom, Pranayama","Anulom Vilom, Pranayama","Cough syrup, Antibiotics","Cough syrup, Antibiotics",Avoid irritants,Avoid irritants,Usually mild,Usually mild,"Bronchitis, Pneumonia","Bronchitis, Pneumonia","Stay hydrated, rest","Stay hydrated, rest",cough,"[""sore throat"", ""chest congestion""]",2,1,0,1,[]
kp_0002,Diabetes,Diabetes,मधुमेह,मधुमेह,मधुमेह,मधुमेह,"Frequent urination, fatigue","Frequent urination, fatigue","Blood sugar test, HbA1c test","Blood sugar test, HbA1c test",Moderate to High,moderate to high,Lifetime management,Lifetime management,Family history of diabetes,Family history of diabetes,"Insulin, Metformin","Insulin, Metformin","Obesity, Genetics, Age > 40","Obesity, Genetics, Age > 40","High Sugar, Sedentary Life","High Sugar, Sedentary Life",Poor Sleep,poor sleep,High Stress,high stress,Low,low,Family History of Diabetes,Family History of Diabetes,"High sugar, Low fiber","High sugar, Low fiber","Gluten, Dairy","Gluten, Dairy",All seasons,all seasons,30-60 years,30-60 years,Both genders,all genders,"Sedentary job, Low exercise","Sedentary job, Low exercise",Avoids certain foods,Avoids certain foods,"Cinnamon, Bitter melon","Cinnamon, Bitter melon","Jamun, Gudmar","Jamun, Gudmar",Fenugreek (3g daily),Fenugreek (3g daily),"Pitta, Kapha","Pitta, Kapha",Kapha,Kapha,Avoid sugary foods; focus on low-GI foods; regular exercise.,Avoid sugary foods; focus on low-GI foods; regular exercise.,"Surya Namaskar, Pranayama","Surya Namaskar, Pranayama","Insulin, Oral meds","Insulin, Oral meds",Regular exercise,Regular exercise,"Chronic, manageable","Chronic, manageable","Retinopathy, Kidney disease","Retinopathy, Kidney disease","Healthy diet, exercise","Healthy diet, exercise",diabetes,"[""frequent urination"", ""fatigue""]",2,0,1,1,[]
kp_0003,Hypertension,Hypertension,उच्च रक्तचाप,उच्च रक्तचाप,उच्च रक्तदाब,उच्च रक्तदाब,"High blood pressure, stress","High blood pressure, stress",Blood pressure measurement,Blood pressure measurement,High,high,Lifetime management,Lifetime management,"Heart disease, Stroke","Heart disease, Stroke","Beta-blockers, Diuretics","Beta-blockers, Diuretics","Family history, Obesity, Age","Family history, Obesity, Age","Hot weather, Salt intake","Hot weather, Salt intake",Poor Sleep,poor sleep,High Stress,high stress,Moderate,moderate,Family History of Hypertension,Family History of Hypertension,"Low Salt, Low Fat","Low Salt, Low Fat",None,,Hot Weather,hot weather,40-70 years,40-70 years,Both genders,all genders,"Desk Job, High stress","Desk Job, High stress","Low-fat, Low-sodium preferences","Low-fat, Low-sodium preferences","Garlic, Hibiscus tea","Garlic, Hibiscus tea","Ashwagandha, Arjuna","Ashwagandha, Arjuna",Ashwagandha (5g daily),Ashwagandha (5g daily),"Pitta, Vata","Vata, Pitta",Pitta,Pitta,Reduce salt; practice yoga and meditation; avoid spicy foods.,Reduce salt; practice yoga and meditation; avoid spicy foods.,"Surya Namaskar, Meditation","Surya Namaskar, Meditation",Antihypertensive meds,Antihypertensive meds,Salt restriction,Salt restriction,Chronic,Chronic,"Heart failure, Stroke","Heart failure, Stroke","Limit salt, exercise","Limit salt, exercise",hypertension,"[""high blood pressure"", ""stress""]",2,1,1,0,"[""allergies_food_env""]"
kp_0004,Migraine,Migraine,माइग्रेन,माइग्रेन,डोकेदुखी,डोकेदुखी,"Severe headache, nausea","Severe headache, nausea","CT scan, MRI, Neurological exam","CT scan, MRI, Neurological exam",Moderate to Severe,moderate to severe,3-4 days for relief,3-4 days for relief,Family history of migraines,Family history of migraines,Pain relievers (NSAIDs),Pain relievers (NSAIDs),"Stress, Hormonal changes","Stress, Hormonal changes","Bright lights, Loud sounds","Bright lights, Loud sounds",Irregular Sleep,irregular sleep,High Stress,high stress,Moderate,moderate,Family History of Migraines,Family History of Migraines,"Spicy, Caffeinated foods","Spicy, Caffeinated foods",None,,All seasons,all seasons,20-50 years,20-50 years,Mostly Female,mostly female,"High screen time, Low activity","High screen time, Low activity",Avoids strong smells,Avoids strong smells,"Peppermint, Lavender oil","Peppermint, Lavender oil","Brahmi, Jatamansi","Brahmi, Jatamansi",Peppermint (2 drops in water),Peppermint (2 drops in water),"Pitta, Vata","Vata, Pitta",Pitta-Vata,Pitta-Vata,Maintain regular meal times; avoid bright lights; stay hydrated.,Maintain regular meal times; avoid bright lights; stay hydrated.,"Anulom Vilom, Pranayama","Anulom Vilom, Pranayama","Pain relievers, Botox","Pain relievers, Botox",Stress management,Stress management,Variable,Variable,"Stroke, Anxiety, Depression","Stroke, Anxiety, Depression","Sleep, avoid triggers","Sleep, avoid triggers",migraine,"[""severe headache"", ""nausea""]",2,1,1,0,"[""allergies_food_env""]"
kp_0005,Arthritis,Arthritis,गठिया,गठिया,आर्थरायटीस,आर्थरायटीस,"Joint pain, swelling","Joint pain, swelling","X-ray, MRI, Blood tests (RA factor)","X-ray, MRI, Blood tests (RA factor)",Moderate to Severe,moderate to severe,Variable,Variable,"Joint pain, Obesity","Joint pain, Obesity",Pain relievers (NSAIDs),Pain relievers (NSAIDs),"Age, Joint overuse, Genetics","Age, Joint overuse, Genetics","Cold, Damp weather","Cold, Damp weather",Poor Sleep,poor sleep,Moderate Stress,moderate stress,Low,low,Family History of Arthritis,Family History of Arthritis,"Low-fat, Low-carb","Low-fat, Low-carb","Pollen, Dust","Pollen, Dust","Winter, Rainy","winter, rainy",40+ years,40+ years,Both genders,all genders,"Sedentary lifestyle, Office job","Sedentary lifestyle, Office job","Avoids cold, prefers warm places","Avoids cold, prefers warm places","Turmeric, Ginger","Turmeric, Ginger","Ashwagandha, Guggul","Ashwagandha, Guggul","Turmeric (1/2 tsp), Milk (200ml)","Turmeric (1/ 2 tsp), Milk (200ml)","Vata, Kapha","Vata, Kapha",Vata,Vata,Consume anti-inflammatory foods; stay active; avoid cold exposure.,Consume anti-inflammatory foods; stay active; avoid cold exposure.,"Yoga for flexibility, Strength","Yoga for flexibility, Strength","NSAIDs, Steroids","NSAIDs, Steroids",Weight management,Weight management,Chronic,Chronic,"Joint deformity, Mobility issues","Joint deformity, Mobility issues","Exercise, joint care","Exercise, joint care",arthritis,"[""joint pain"", ""swelling""]",2,1,0,1,[]
kp_0006,Common Cold,Common Cold,सामान्य सर्दी,सामान्य सर्दी,सामान्य सर्दी,सामान्य सर्दी,"Runny nose, sneezing, mild fever","Runny nose, sneezing, mild fever","Physical exam, Throat culture","Physical exam, Throat culture",Mild to Moderate,mild to moderate,7-10 days,7-10 days,None,,"Antihistamines, Decongestants","Antihistamines, Decongestants","Viral infections, Immune weakness","Viral infections, Immune weakness","Cold Air, Viral Infection","Cold Air, Viral Infection",Irregular Sleep,irregular sleep,Moderate Stress,moderate stress,Low,low,None,,Balanced diet,Balanced diet,"Dust, Pollen","Dust, Pollen","Winter, Monsoon","winter, monsoon",All ages,all ages,All genders,all genders,"Office job, Low activity","Office job, Low activity",Avoids cold foods,Avoids cold foods,"Echinacea, Ginger tea","Echinacea, Ginger tea","Tulsi, Ginger","Tulsi, Ginger","Tulsi leaves (5), Ginger (1g)","Tulsi leaves (5), Ginger (1g)","Kapha, Vata","Vata, Kapha",Kapha,Kapha,Rest well; consume warm foods; avoid dairy temporarily.,Rest well; consume warm foods; avoid dairy temporarily.,"Pranayama, Anulom Vilom","Pranayama, Anulom Vilom","Decongestants, Rest","Decongestants, Rest","Good hygiene, Rest","Good hygiene, Rest",Usually mild,Usually mild,Secondary infections,Secondary infections,"Hydration, rest","Hydration, rest",common cold,"[""runny nose"", ""sneezing"", ""mild fever""]",3,1,0,1,"[""medical_history"", ""family_history""]"
kp_0007,Indigestion,Indigestion,पाचन की समस्या,पाचन की समस्या,पचन समस्या,पचन समस्या,"Bloating, abdominal discomfort","Bloating, abdominal discomfort","Endoscopy, Blood tests","Endoscopy, Blood tests",Mild to Moderate,mild to moderate,1-3 days,1-3 days,"Poor diet, Stress","Poor diet, Stress","Antacids, Probiotics","Antacids, Probiotics","Overeating, Stress","Overeating, Stress","Overeating, Spicy foods","Overeating, Spicy foods",Poor Sleep,poor sleep,High Stress,high stress,Moderate,moderate,Family history of digestive issues,Family history of digestive issues,"Spicy, Oily foods","Spicy, Oily foods","Dairy, Gluten","Dairy, Gluten","Winter, Monsoon","winter, monsoon",All ages,all ages,All genders,all genders,"Sedentary job, High stress","Sedentary job, High stress","Varies, often vegetarian","Varies, often vegetarian","Peppermint, Fennel","Peppermint, Fennel","Triphala, Ajwain","Triphala, Ajwain","Ajwain seeds (1 tsp), Water (200ml)","Ajwain seeds (1 tsp), Water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Pitta,Vata-Pitta,Avoid processed foods; eat smaller meals; stay active.,Avoid processed foods; eat smaller meals; stay active.,"Pranayama, Yogasanas","Pranayama, Yogasanas","Antacids, PPIs","Antacids, PPIs","Eat small meals, Avoid triggers","Eat small meals, Avoid triggers",Usually mild,Usually mild,"Acid reflux, GERD","Acid reflux, GERD","Avoid heavy meals, stress","Avoid heavy meals, stress",indigestion,"[""bloating"", ""abdominal discomfort""]",2,1,1,0,[]
kp_0008,Asthma,Asthma,दमा,दमा,श्वसन रोग,श्वसन रोग,"Wheezing, shortness of breath","Wheezing, shortness of breath","Pulmonary function tests, Chest X-ray","Pulmonary function tests, Chest X-ray",Moderate to Severe,moderate to severe,Lifelong management,Lifelong management,"Allergies, Respiratory Issues","Allergies, Respiratory Issues","Inhalers, Steroids","Inhalers, Steroids","Family history, Allergies, Air pollution","Family history, Allergies, Air pollution","Dust, Pollution","Dust, Pollution",Irregular Sleep,irregular sleep,High Stress,high stress,Low,low,Family History of Asthma,Family History of Asthma,"Low-fat, High-protein","Low-fat, High-protein","Pollen, Dust","Pollen, Dust","Winter, Rainy","winter, rainy",Any age,any age,Both genders,all genders,"Sedentary lifestyle, Low activity","Sedentary lifestyle, Low activity","Avoids cold, prefers warm places","Avoids cold, prefers warm places","Ginger, Eucalyptus oil","Ginger, Eucalyptus oil","Ashwagandha, Tulsi","Ashwagandha, Tulsi","Mulethi (1/2 tsp), Honey (1 tsp)","Mulethi (1/ 2 tsp), Honey (1 tsp)","Kapha, Vata","Vata, Kapha",Kapha,Kapha,Avoid cold and dusty environments; practice breathing exercises.,Avoid cold and dusty environments; practice breathing exercises.,"Pranayama, Kapalbhati","Pranayama, Kapalbhati","Inhalers, Steroids","Inhalers, Steroids",Avoid allergens,Avoid allergens,Chronic,Chronic,"Asthma attacks, Lung infections","Asthma attacks, Lung infections","Avoid triggers, use inhaler","Avoid triggers, use inhaler",asthma,"[""wheezing"", ""shortness of breath""]",2,1,0,1,[]
kp_0009,Constipation,Constipation,कब्ज,कब्ज,बधाम,बधाम,"Hard stools, infrequent bowel movement","Hard stools, infrequent bowel movement","Physical exam, Colonoscopy, X-ray","Physical exam, Colonoscopy, X-ray",Mild to Moderate,mild to moderate,2-3 days,2-3 days,"Poor diet, Lack of exercise","Poor diet, Lack of exercise","Laxatives, Fiber","Laxatives, Fiber","Low fiber diet, Dehydration","Low fiber diet, Dehydration","Low water intake, Stress","Low water intake, Stress",Irregular Sleep,irregular sleep,High Stress,high stress,Low to Moderate,low to moderate,Family History of Constipation,Family History of Constipation,"High fiber, Low-fat","High fiber, Low-fat","Dairy, Processed foods","Dairy, Processed foods",All seasons,all seasons,All ages,all ages,Both genders,all genders,"Office job, Low physical activity","Office job, Low physical activity","Vegetarian, high fiber intake","Vegetarian, high fiber intake","Triphala, Aloe Vera","Triphala, Aloe Vera","Triphala, Isabgol","Triphala, Isabgol","Triphala (1 tsp), Warm water (200ml)","Triphala (1 tsp), Warm water (200ml)",Vata,Vata,Vata,Vata,Increase fiber intake; stay hydrated; practice regular bowel routines.,Increase fiber intake; stay hydrated; practice regular bowel routines.,"Paschimottanasana, Pranayama","Paschimottanasana, Pranayama","Laxatives, Fiber supplements","Laxatives, Fiber supplements","Drink water, fiber-rich foods","Drink water, fiber-rich foods",Usually mild,Usually mild,"Hemorrhoids, Fecal impaction","Hemorrhoids, Fecal impaction",Increase fiber intake,Increase fiber intake,constipation,"[""hard stools"", ""infrequent bowel movement""]",2,1,0,0,[]
kp_0010,Insomnia,Insomnia,अनिद्रा,अनिद्रा,अनिद्रा,अनिद्रा,"Difficulty sleeping, restlessness","Difficulty sleeping, restlessness","Sleep study, Blood tests, Questionnaire","Sleep study, Blood tests, Questionnaire",Moderate to Severe,moderate to severe,"Variable, up to 4 weeks","Variable, up to 4 weeks","Anxiety, Depression, Stress","Anxiety, Depression, Stress","Sleep aids, Melatonin","Sleep aids, Melatonin","Stress, Anxiety, Irregular sleep","Stress, Anxiety, Irregular sleep","Noise, Bright light, Caffeine","Noise, Bright light, Caffeine",Poor Sleep,poor sleep,High Stress,high stress,Low,low,Family history of Insomnia,Family history of Insomnia,"Caffeine, Spicy foods","Caffeine, Spicy foods",None,,All seasons,all seasons,All ages,all ages,Both genders,all genders,"Office job, High stress","Office job, High stress",Avoids screen time late,Avoids screen time late,"Valerian root, Chamomile","Valerian root, Chamomile","Ashwagandha, Jatamansi","Ashwagandha, Jatamansi","Brahmi (1 tsp), Warm milk (200ml)","Brahmi (1 tsp), Warm milk (200ml)","Vata, Pitta","Vata, Pitta",Vata-Pitta,Vata-Pitta,Establish a sleep routine; avoid caffeine; practice meditation.,Establish a sleep routine; avoid caffeine; practice meditation.,"Anulom Vilom, Yoga Nidra","Anulom Vilom, Yoga Nidra","Sleep aids, CBT therapy","Sleep aids, CBT therapy","Sleep routine, Relaxation","Sleep routine, Relaxation",Chronic if untreated,Chronic if untreated,"Anxiety, Depression","Anxiety, Depression","Sleep hygiene, relax","Sleep hygiene, relax",insomnia,"[""difficulty sleeping"", ""restlessness""]",2,1,1,0,"[""allergies_food_env""]"
